Species,Diet,extant_fossil,Mean M-D Length,Mean Crest Length,,Log10_length_frugs,Log10_sum_frugs,Log10_ets_frugs,Log10_sq_frugs,,Log10_length_all,Log10_sum_all,Log10_ets_all,Log10_sq_all
Aotus_vociferans,Frugivore,extant,3.288,6.731,,0.516931809,0.828079591,0.819655319,1.02778223,,0.516931809,0.828079591,0.789365876,4.904406975
Ateles_geoffroyi,Frugivore,extant,5.045,10.92,,0.702861171,1.038222638,0.987943703,5.08925109,,0.702861171,1.038222638,1.006196697,3.182870838
Callicebus_cupreus,Frugivore,extant,3.484,6.634,,0.542078146,0.821775467,0.842415772,-2.450132739,,0.542078146,0.821775467,0.818691534,0.376690463
Callicebus_moloch,Frugivore,extant,3.57,6.647,,0.552668216,0.822625679,0.852001056,-3.447809929,,0.552668216,0.822625679,0.831041674,-1.012704311
Cebus_capucinus,Frugivore,extant,4.41,7.363,,0.644438589,0.8670548,0.935064256,-7.27323873,,0.644438589,0.8670548,0.938064283,-7.569788536
Lagothrix_lagotricha,Frugivore,extant,5.435,10.86,,0.735199548,1.035829825,1.017213815,1.830098029,,0.735199548,1.035829825,1.043909713,-0.77400258
Saimiri_boliviensis,Frugivore,extant,2.747,6.161,,0.438858659,0.789651209,0.74898975,5.428840513,,0.438858659,0.789651209,0.698316969,13.07919531
