Species,Diet,extant_fossil,Mean M-D Length,Mean Crest Length,,Log10_length_frugs,Log10_sum_frugs,Log10_ets_frugs,Log10_sq_frugs,,Log10_length_all,Log10_sum_all,Log10_ets_all,Log10_sq_all
Allocebus_trichotis,NA,extant,1.76,3.18,,0.25,0.50,0.53,-5.04,,0.25,0.50,0.58,-13.83
Arctocebus_calabarensis, Insects,extant,3.56,7.79,,0.55,0.89,0.80,12.14,,0.55,0.89,0.85,5.17
Avahi_laniger, Leaves,extant,3.84,8.61,,0.58,0.94,0.82,13.52,,0.58,0.94,0.88,6.72
Cheirogaleus_major, Fruit,extant,3.43,5.22,,0.54,0.72,0.78,-8.11,,0.54,0.72,0.83,-13.92
Cheirogaleus_medius, Fruit,extant,2.32,4.06,,0.37,0.61,0.63,-3.93,,0.37,0.61,0.69,-11.41
Eulemur_coronatus, Fruit,extant,4.78,9.03,,0.68,0.96,0.91,5.45,,0.68,0.96,0.96,-0.29
Eulemur_fulvus_mayottensis, Fruit,extant,5.81,10.41,,0.76,1.02,0.98,3.82,,0.76,1.02,1.03,-1.38
Eulemur_fulvus_rufus, Leaves,extant,5.42,10.83,,0.73,1.03,0.95,8.48,,0.73,1.03,1.01,2.88
Eulemur_macaco, Fruit,extant,5.63,11.27,,0.75,1.05,0.97,8.66,,0.75,1.05,1.02,3.14
Euoticus_elegantulus, Gums,extant,2.36,4.39,,0.37,0.64,0.64,0.41,,0.37,0.64,0.69,-7.33
Euoticus_inustus, Insects,extant,2.15,4.72,,0.33,0.67,0.60,11.46,,0.33,0.67,0.66,2.38
Galago_alleni, Fruit,extant,2.80,5.44,,0.45,0.74,0.70,4.43,,0.45,0.74,0.76,-2.89
Galago_senegalensis, Insects,extant,2.17,5.34,,0.34,0.73,0.61,19.63,,0.34,0.73,0.66,9.94
Galagoides_demidoff, Insects,extant,1.94,4.14,,0.29,0.62,0.57,9.04,,0.29,0.62,0.62,-0.43
Hapalemur_griseus, Leaves,extant,4.28,9.39,,0.63,0.97,0.86,12.50,,0.63,0.97,0.92,6.08
Hapalemur_simus, Leaves,extant,5.82,14.57,,0.76,1.16,0.98,18.64,,0.76,1.16,1.03,12.70
Indri_indri, Leaves,extant,7.04,13.56,,0.85,1.13,1.05,7.58,,0.85,1.13,1.10,2.57
Lemur_catta, Leaves,extant,4.92,10.16,,0.69,1.01,0.92,9.78,,0.69,1.01,0.97,3.88
Lepilemur_mustelinus, Leaves,extant,3.76,6.30,,0.58,0.80,0.82,-2.00,,0.58,0.80,0.87,-7.94
Loris_tardigradus, Insects,extant,2.88,5.78,,0.46,0.76,0.72,6.56,,0.46,0.76,0.77,-0.80
Microcebus_murinus, Fruit,extant,1.58,2.92,,0.20,0.47,0.49,-4.70,,0.20,0.47,0.54,-14.23
Nycticebus_coucang, Fruit,extant,3.34,6.28,,0.52,0.80,0.77,3.50,,0.52,0.80,0.82,-3.13
Otolemur_crassicaudatus, Fruit,extant,3.72,6.31,,0.57,0.80,0.81,-1.43,,0.57,0.80,0.86,-7.43
Perodicticus_potto, Fruit,extant,3.41,5.24,,0.53,0.72,0.78,-7.64,,0.53,0.72,0.83,-13.50
Phaner_furcifer, Gums,extant,2.55,4.60,,0.41,0.66,0.67,-0.94,,0.41,0.66,0.72,-8.25
Propithecus_diadema, Leaves,extant,6.76,13.63,,0.83,1.13,1.04,9.38,,0.83,1.13,1.09,4.21
Propithecus_verreauxi, Leaves,extant,6.66,13.11,,0.82,1.12,1.03,8.34,,0.82,1.12,1.08,3.19
Tarsius_spectrum, Insects,extant,2.27,5.70,,0.36,0.76,0.63,20.91,,0.36,0.76,0.68,11.37
Varecia_variegata, Fruit,extant,6.78,11.92,,0.83,1.08,1.04,3.66,,0.83,1.08,1.09,-1.23
Omomys_carteri,Omomys_carteri,fossil,2.533,4.94,,0.40,0.69,0.67,4.07,,0.40,0.69,0.72,-3.64
Taxon_B,Taxon_B,fossil,3.628,6.760,,0.56,0.83,0.80,3.46,,0.56,0.83,0.85,-2.91
