Species,Diet,extant_fossil,Mean M-D Length,Mean Crest Length,,Log10_length_frugs,Log10_sum_frugs,Log10_ets_frugs,Log10_sq_frugs,,Log10_length_all,Log10_sum_all,Log10_ets_all,Log10_sq_all
Aotus_trivirgatus, Fruit,extant,3.06,6.16,,0.49,0.79,0.75,5.68,,0.49,0.79,0.74,6.77
Ateles_geoffroyi, Fruit,extant,5.26,9.31,,0.72,0.97,0.97,-0.04,,0.72,0.97,0.99,-1.72
Callicebus_moloch, Fruit,extant,3.18,5.55,,0.5,0.74,0.76,-2.44,,0.5,0.74,0.76,-1.68
Callimico_goeldii, Fruit,extant,2.6,5.48,,0.41,0.74,0.68,8.59,,0.41,0.74,0.67,11.03
Callithrix_argentata, Fruit,extant,2.22,4.08,,0.35,0.61,0.62,-0.8,,0.35,0.61,0.59,2.89
Cebuella_pygmaea, Fruit,extant,1.78,3.26,,0.25,0.51,0.52,-2.24,,0.25,0.51,0.49,4.09
Cebus_apella, Fruit,extant,4.79,7.71,,0.68,0.89,0.93,-4.71,,0.68,0.89,0.94,-5.97
Lagothrix_lagotricha, Fruit,extant,5.47,10.12,,0.74,1.01,0.99,2.01,,0.74,1.01,1,0.14
Leontopithecus_rosalia, Fruit,extant,3.09,5.62,,0.49,0.75,0.75,-0.19,,0.49,0.75,0.74,0.78
Saguinus_mystax, Fruit,extant,2.52,4.03,,0.4,0.61,0.67,-9.32,,0.4,0.61,0.65,-7.05
Saimiri_sciureus, Fruit,extant,2.87,5.54,,0.46,0.74,0.72,3.14,,0.46,0.74,0.71,4.67
